ui,dem
1537,4699
1538,4697
1539,4694
1540,4550
1584,4695
1585,5072
1586,5156
1587,4819
1588,5390
1589,5316
1590,5267
1591,4679
1592,4539
1593,4539
1594,4653
1595,4500
1596,4757
1597,4803
1598,4832
1599,5207
1600,5162
1601,4951
1602,5264
1603,4283
1604,4349
1605,4158
1606,4989
1607,4989
1608,4230
1609,4764
1610,4899
1611,4677
1612,4678
1613,5430
1614,5069
1615,4890
1616,4919
1617,5027
1618,5018
1619,5009
1620,5011
1621,5020
1622,5099
1623,4994
1624,5078
1625,4793
1626,4505
1627,5250
1628,5056
1629,5185
1630,5201
1631,5100
1632,5004
1633,4989
1634,5041
1635,5247
1636,5109
1637,5046
1638,4983
1639,5039
1640,5082
1641,5124
1642,4487
1643,4648
1644,4272
1645,4265
1646,4280
1647,4280
1648,4330
1649,4331
1650,4312
1651,4316
1652,4483
1653,4240
1654,4715
1655,5139
1656,5095
1657,4712
1658,4567
1659,4247
1660,4484
1661,4681
1662,4987
1663,4984
1664,4899
1665,5037
1666,4958
1667,4893
1668,4795
1669,4912
1670,4942
1671,4919
1672,4893
1673,4972
1674,5075
1675,5093
1676,5110
1677,4949
1678,5010
1679,5033
1680,5036
1681,5066
1682,5057
1683,4893
1684,4907
1685,4867
1686,4970
1687,4948
1688,4893
1689,4949
1690,5030
1691,5289
1692,5143
1693,5248
1694,5015
1695,5135
1696,4815
1697,4815
1698,5042
1699,4763
1700,4755
1701,4527
1702,4432
1703,4371
1704,4399
1705,4489
1706,4412
1707,4356
1708,4341
1709,4345
1710,4407
1711,4391
1712,4367
1713,4370
1714,4750
1715,4358
1716,4401
1717,4945
1718,4581
1719,4555
1720,4578
1721,4787
1722,4793
1723,4792
1724,5092
1725,5229
1726,5252
1727,5324
1728,5353
1729,5343
1730,5233
1731,5163
1732,5153
1733,5022
1734,4574
1735,4555
1736,4545
1737,4766
1738,5178
1739,4917
1740,4880
1741,4872
1742,2809
1743,2791
1744,2690
1745,2678
1746,2833
1747,2806
1748,4532
1749,4437
1750,4474
1751,4487
1752,4741
1753,4653
1754,4650
1755,4936
1756,4766
1757,4687
1758,4717
1759,4761
1760,4806
1761,4751
1762,4907
1763,4817
1764,4876
1765,4864
1766,4796
1767,4811
1768,4697
